ambient	plusFe
lcl|FLDA00M01ENPMZ	3	4
lcl|FLDA00M01ENS3R	0	1
lcl|FLDA00M01ENSNF	0	2
lcl|FLDA00M01ENY6G	3	11
lcl|FLDA00M01ENY8A	0	2
lcl|FLDA00M01ENZLR	0	23
lcl|FLDA00M01EO61W	15	0
lcl|FLDA00M01EO93L	0	1
lcl|FLDA00M01EOC6M	8	238
lcl|FLDA00M01EOCIE	3	78
lcl|FLDA00M01EOOEW	28	0
lcl|FLDA00M01EOOR5	5	7
lcl|FLDA00M01EOQHT	0	3
lcl|FLDA00M01EOTI3	1	5
lcl|FLDA00M01EOV19	2	16
lcl|FLDA00M01EOV2X	0	15
lcl|FLDA00M01EOVF5	1	2
lcl|FLDA00M01EP07H	0	6
lcl|FLDA00M01EP0DY	0	3
lcl|FLDA00M01EP6MU	0	67
lcl|FLDA00M01EP6SM	2	12
lcl|FLDA00M01EPB4Q	0	19
lcl|FLDA00M01EPGUC	0	12
lcl|FLDA00M01EPJTR	0	48
lcl|FLDA00M01EPT4K	1	62
lcl|FLDA00M01EPTRC	0	18
lcl|FLDA00M01EPXMK	0	370
lcl|FLDA00M01EQ1FL	0	17
lcl|FLDA00M01EQ44A	1	0
lcl|FLDA00M01EQ4RG	1	0
lcl|FLDA00M01EQ8JX	1	0
lcl|FLDA00M01EQF4E	0	3
lcl|FLDA00M01EQFYU	0	2
lcl|FLDA00M01EQGCZ	1	39
lcl|FLDA00M01EQGG3	0	1
lcl|FLDA00M01EQL2P	0	13
lcl|FLDA00M01EQMJ0	0	2
lcl|FLDA00M01EQOZ3	2	24
lcl|FLDA00M01EQRYA	1	8
lcl|FLDA00M01EQWKH	0	8
lcl|FLDA00M01EQY2W	0	1
lcl|FLDA00M01ER0U2	0	29
lcl|FLDA00M01ER1TA	5	0
lcl|FLDA00M01ER7P0	8	0
lcl|FLDA00M01ERFMM	0	1
lcl|FLDA00M01ERKTX	3	0
lcl|FLDA00M01ERM1P	1	27
lcl|FLDA00M01ERO4W	0	1
lcl|FLDA00M01ERQW5	5	10
lcl|FLDA00M01ERRB5	0	50
lcl|FLDA00M01ERURR	1	28
lcl|FLDA00M01ES2RN	1	3
lcl|FLDA00M01ES4IK	0	83
lcl|FLDA00M01ESAPX	0	56
lcl|FLDA00M01ESGGX	24	499
lcl|FLDA00M01ESJ57	0	7
lcl|FLDA00M01ESJIV	0	20
lcl|FLDA00M01ESMMT	1	3
lcl|FLDA00M01ESMQI	0	2
lcl|FLDA00M01ESSNF	2	97
lcl|FLDA00M01ESZF5	2	0
lcl|FLDA00M01ET0QX	7	157
lcl|FLDA00M01ET2L0	4	11
lcl|FLDA00M01ET4OC	0	1
lcl|FLDA00M01ET5TV	0	19
lcl|FLDA00M01ET7V8	1	0
lcl|FLDA00M01ETABF	0	11
lcl|FLDA00M01ETBIL	0	35
lcl|FLDA00M01ETCVV	0	10
lcl|FLDA00M01ETRB9	0	171
lcl|FLDA00M01ETTHS	0	7
lcl|FLDA00M01ETUF2	3	0
lcl|FLDA00M01ETUUR	1	187
lcl|FLDA00M01EU30D	0	4
lcl|FLDA00M01EU31F	0	18
lcl|FLDA00M01EU3BB	0	9
lcl|FLDA00M01EU4V5	1	2
lcl|FLDA00M01EU8JW	0	33
lcl|FLDA00M01EUASY	8	2
lcl|FLDA00M01EUH25	0	1
lcl|FLDA00M01EUO5K	0	1
lcl|FLDA00M01EUQDB	0	38
lcl|FLDA00M01EUTAV	1	24
lcl|FLDA00M01EUXI4	2	0
lcl|FLDA00M01EV1TV	0	17
lcl|FLDA00M01EV4ZB	2	2
lcl|FLDA00M01EV51R	0	3
lcl|FLDA00M01EV5JA	0	1
lcl|FLDA00M01EV70F	2	3
lcl|FLDA00M01EVBC7	0	3
lcl|FLDA00M01EVCI1	0	6
lcl|FLDA00M01EVF0A	1	0
lcl|FLDA00M01EVMV5	2	11
lcl|FLDA00M01EVO87	0	4
lcl|FLDA00M01EVPSX	0	6
lcl|FLDA00M01EVS30	0	2
lcl|FLDA00M01EVVLG	0	52
lcl|FLDA00M01EVYJN	1	5
lcl|FLDA00M01EWBHT	0	6
lcl|FLDA00M01EWFWU	0	121
lcl|FLDA00M01EWHJ6	0	418
lcl|FLDA00M01EWHKB	0	1
lcl|FLDA00M01EWN1X	0	2
lcl|FLDA00M01EWX71	0	266
lcl|FLDA00M01EWY27	21	12
lcl|FLDA00M01EWY5J	0	8
lcl|FLDA00M01EX0F6	3	3
lcl|FLDA00M01EX2O1	0	78
lcl|FLDA00M01EX6EU	0	7
lcl|FLDA00M01EXG05	0	2
lcl|FLDA00M01EXGT8	3	25
lcl|FLDA00M01EXH4R	5	9
lcl|FLDA00M01EXM72	3	24
lcl|FLDA00M01EXQEG	2	8
lcl|FLDA00M01EXWNS	0	5
lcl|FLDA00M01EYCFE	0	4
lcl|FLDA00M01EYCZ5	0	5
lcl|FLDA00M01EYE7Y	0	7
lcl|FLDA00M01EYF1U	2	30
lcl|FLDA00M01EYLEY	0	85
lcl|FLDA00M01EYR3D	0	48
lcl|FLDA00M01EYVWI	0	23
lcl|FLDA00M01EYYCB	7	421
lcl|FLDA00M01EZ124	9	6
lcl|FLDA00M01EZ6KE	1	0
lcl|FLDA00M01EZ9BG	0	1
lcl|FLDA00M01EZ9C3	7	156
lcl|FLDA00M01EZFCZ	17	11
lcl|FLDA00M01EZWUU	0	9
lcl|FLDA00M01EZZ20	2	4
lcl|FLDA00M02F00W9	0	2
lcl|FLDA00M02F01YV	1	0
lcl|FLDA00M02F0232	0	2
lcl|FLDA00M02F08IZ	0	7
lcl|FLDA00M02F096X	0	1
lcl|FLDA00M02F0CR4	0	1
lcl|FLDA00M02F0J3K	0	37
lcl|FLDA00M02F0MKH	0	2
lcl|FLDA00M02F0NAU	3	7
lcl|FLDA00M02F0V40	5	10
lcl|FLDA00M02F0VUZ	0	27
lcl|FLDA00M02F0YQ7	4	10
lcl|FLDA00M02F14C0	0	1
lcl|FLDA00M02F14CD	3	26
lcl|FLDA00M02F152I	2	6
lcl|FLDA00M02F19RG	0	5
lcl|FLDA00M02F1A9W	0	6
lcl|FLDA00M02F1BV8	1	1
lcl|FLDA00M02F1E42	10	4
lcl|FLDA00M02F1EC3	0	2
lcl|FLDA00M02F1HQ0	0	10
lcl|FLDA00M02F1KTB	1	2
lcl|FLDA00M02F1LAS	11	0
lcl|FLDA00M02F1M9H	0	2
lcl|FLDA00M02F1OBJ	0	16
lcl|FLDA00M02F1ODY	5	12
lcl|FLDA00M02F1QTX	0	14
lcl|FLDA00M02F1R1G	0	2
lcl|FLDA00M02F1R1J	4	0
lcl|FLDA00M02F1R3Q	0	9
lcl|FLDA00M02F1R6I	7	14
lcl|FLDA00M02F1SR4	1	3
lcl|FLDA00M02F1XU2	13	168
lcl|FLDA00M02F22BP	0	33
lcl|FLDA00M02F23SM	0	12
lcl|FLDA00M02F24Z3	0	1
lcl|FLDA00M02F26LA	0	7
lcl|FLDA00M02F28I7	0	164
lcl|FLDA00M02F29U6	0	48
lcl|FLDA00M02F2B3P	5	3
lcl|FLDA00M02F2CUE	0	25
lcl|FLDA00M02F2D71	0	2
lcl|FLDA00M02F2J0X	0	126
lcl|FLDA00M02F2JMF	0	17
lcl|FLDA00M02F2KFD	0	3
lcl|FLDA00M02F2N6L	0	4
lcl|FLDA00M02F2NPW	0	78
lcl|FLDA00M02F2OCU	1	11
lcl|FLDA00M02F2ORE	0	9
lcl|FLDA00M02F2OXP	0	94
lcl|FLDA00M02F2PUA	0	7
lcl|FLDA00M02F2QE2	4	26
lcl|FLDA00M02F2QID	0	31
lcl|FLDA00M02F2QPV	6	15
lcl|FLDA00M02F2RS6	2	12
lcl|FLDA00M02F2S3J	0	20
lcl|FLDA00M02F2SUE	7	71
lcl|FLDA00M02F2WUG	0	3
lcl|FLDA00M02F32K5	5	2
lcl|FLDA00M02F337X	0	2
lcl|FLDA00M02F35PW	0	12
lcl|FLDA00M02F3CAA	0	67
lcl|FLDA00M02F3F44	2	21
lcl|FLDA00M02F3FGJ	4	12
lcl|FLDA00M02F3FHL	1	40
lcl|FLDA00M02F3FPB	3	1
lcl|FLDA00M02F3G7P	0	12
lcl|FLDA00M02F3IHB	0	93
lcl|FLDA00M02F3LHG	19	231
lcl|FLDA00M02F3LKU	3	1
lcl|FLDA00M02F3OX9	1	7
lcl|FLDA00M02F3QBG	0	1
lcl|FLDA00M02F3R1C	0	9
lcl|FLDA00M02F3SGQ	0	4
lcl|FLDA00M02F3SYN	0	17
lcl|FLDA00M02F3WFQ	0	222
lcl|FLDA00M02F3XM7	0	128
lcl|FLDA00M02F3ZD8	3	6
lcl|FLDA00M02F3ZYZ	0	1
lcl|FLDA00M02F469H	0	1
lcl|FLDA00M02F47AL	1	9
lcl|FLDA00M02F47KW	0	2
lcl|FLDA00M02F486S	6	9
lcl|FLDA00M02F4ACW	0	6
lcl|FLDA00M02F4AFP	0	73
lcl|FLDA00M02F4DE9	0	9
lcl|FLDA00M02F4ED4	0	14
lcl|FLDA00M02F4H1Y	21	0
lcl|FLDA00M02F4HG1	7	73
lcl|FLDA00M02F4LPH	0	1
lcl|FLDA00M02F4N54	0	1
lcl|FLDA00M02F4O41	0	4
lcl|FLDA00M02F4RWV	0	1
lcl|FLDA00M02F4RZJ	0	2
lcl|FLDA00M02F4TZZ	7	21
lcl|FLDA00M02F4WD6	0	34
lcl|FLDA00M02F4XNF	0	42
lcl|FLDA00M02F4YN6	0	25
lcl|FLDA00M02F4Z52	0	368
lcl|FLDA00M02F53C5	0	11
lcl|FLDA00M02F54P6	4	181
lcl|FLDA00M02F54TJ	23	47
lcl|FLDA00M02F55X0	0	1
lcl|FLDA00M02F56AC	5	92
lcl|FLDA00M02F56D1	1	25
lcl|FLDA00M02F56S2	0	16
lcl|FLDA00M02F59LI	0	5
lcl|FLDA00M02F5IV7	7	50
lcl|FLDA00M02F5JDZ	0	43
lcl|FLDA00M02F5KFA	0	75
lcl|FLDA00M02F5MI1	2	45
lcl|FLDA00M02F5PID	9	12
lcl|FLDA00M02F5RAS	0	9
lcl|FLDA00M02F5UBV	0	3
lcl|FLDA00M02F63G5	0	10
lcl|FLDA00M02F64UJ	0	2
lcl|FLDA00M02F6ACG	1	30
lcl|FLDA00M02F6H8I	0	385
lcl|FLDA00M02F6JLL	1	0
lcl|FLDA00M02F6O9C	4	38
lcl|FLDA00M02F6PF5	1	8
lcl|FLDA00M02F6R6Y	15	4
lcl|FLDA00M02F6SN1	1	1
lcl|FLDA00M02F6V6R	1	1
lcl|FLDA00M02F6W6L	1	9
lcl|FLDA00M02F70ZY	0	8
lcl|FLDA00M02F728C	8	0
lcl|FLDA00M02F72JC	0	1
lcl|FLDA00M02F75ER	2	1
lcl|FLDA00M02F76QH	2	1
lcl|FLDA00M02F777G	2	20
lcl|FLDA00M02F79MM	2	25
lcl|FLDA00M02F7H7F	0	8
lcl|FLDA00M02F7JUW	3	0
lcl|FLDA00M02F7KU5	8	44
lcl|FLDA00M02F7N62	1	3
lcl|FLDA00M02F7Q0D	0	29
lcl|FLDA00M02F7QGP	0	2
lcl|FLDA00M02F7TNT	0	1
lcl|FLDA00M02F7UAJ	0	39
lcl|FLDA00M02F7UHF	1	2
lcl|FLDA00M02F7UYY	0	5
lcl|FLDA00M02F7VJT	0	36
lcl|FLDA00M02F7YCR	0	20
lcl|FLDA00M02F826A	0	8
lcl|FLDA00M02F82E8	0	273
lcl|FLDA00M02F82ID	0	2
lcl|FLDA00M02F8908	0	1
lcl|FLDA00M02F89UW	1	0
lcl|FLDA00M02F8CLQ	0	2
lcl|FLDA00M02F8FZV	0	17
lcl|FLDA00M02F8GMU	48	39
lcl|FLDA00M02F8I4J	0	1
lcl|FLDA00M02F8I6P	0	10
lcl|FLDA00M02F8KAV	1	9
lcl|FLDA00M02F8KU0	0	1
lcl|FLDA00M02F8L4O	5	0
lcl|FLDA00M02F8MOB	0	6
lcl|FLDA00M02F8TPE	0	2
lcl|FLDA00M02F8W7L	0	4
lcl|FLDA00M02F8XSD	0	42
lcl|FLDA00M02F8ZP6	7	15
lcl|FLDA00M02F96UD	0	69
lcl|FLDA00M02F9BKP	0	7
lcl|FLDA00M02F9CLY	0	216
lcl|FLDA00M02F9G1H	0	33
lcl|FLDA00M02F9H33	0	1
lcl|FLDA00M02F9IKF	0	3
lcl|FLDA00M02F9LX9	1	27
lcl|FLDA00M02F9NBM	2	16
lcl|FLDA00M02F9O42	1	7
lcl|FLDA00M02F9WS9	1	0
lcl|FLDA00M02F9WWF	0	44
lcl|FLDA00M02F9X1Y	0	6
lcl|FLDA00M02F9YMA	0	5
lcl|FLDA00M02F9Z32	3	3
lcl|FLDA00M02F9ZTX	12	152
lcl|FLDA00M02F9ZWD	0	2
lcl|FLDA00M02FB0VP	0	1
lcl|FLDA00M02FB4EQ	0	5
lcl|FLDA00M02FB7ML	0	9
lcl|FLDA00M02FB8FH	0	3
lcl|FLDA00M02FC0BG	0	3
lcl|FLDA00M02FC3X3	0	27
lcl|FLDA00M02FC4OK	2	3
lcl|FLDA00M02FC7I1	5	17
lcl|FLDA00M02FC7IH	0	1
lcl|FLDA00M02FC84K	2	11
lcl|FLDA00M02FC958	0	13
lcl|FLDA00M02FC9AG	1	2
lcl|FLDA00M02FCBC2	0	17
lcl|FLDA00M02FCGM5	2	7
lcl|FLDA00M02FCHIL	0	3
lcl|FLDA00M02FCKR5	0	7
lcl|FLDA00M02FCMXP	32	33
lcl|FLDA00M02FCR6U	2	3
lcl|FLDA00M02FCS2U	1	2
lcl|FLDA00M02FCT2Z	0	23
lcl|FLDA00M02FCTB1	3	42
lcl|FLDA00M02FCUS5	3	50
lcl|FLDA00M02FCX5M	0	5
lcl|FLDA00M02FCZ2G	2	5
lcl|FLDA00M02FD1F6	0	33
lcl|FLDA00M02FD1VH	0	29
lcl|FLDA00M02FD2GB	1	13
lcl|FLDA00M02FD56V	0	5
lcl|FLDA00M02FD7T2	0	6
lcl|FLDA00M02FD80I	0	22
lcl|FLDA00M02FDA4E	3	90
lcl|FLDA00M02FDC9W	0	20
lcl|FLDA00M02FDJGL	0	20
lcl|FLDA00M02FDMG9	0	2
lcl|FLDA00M02FDNS8	0	63
lcl|FLDA00M02FDPKD	0	1
lcl|FLDA00M02FDPPM	2	0
lcl|FLDA00M02FDRWJ	6	9
lcl|FLDA00M02FDSQZ	0	18
lcl|FLDA00M02FDU8P	1	0
lcl|FLDA00M02FDUFU	4	0
lcl|FLDA00M02FDWBG	0	5
lcl|FLDA00M02FDYSJ	0	5
lcl|FLDA00M02FDZE6	0	12
lcl|FLDA00M02FDZFZ	0	24
lcl|FLDA00M02FE0H1	0	24
lcl|FLDA00M02FE2JC	0	2
lcl|FLDA00M02FE3AZ	1	0
lcl|FLDA00M02FE7T1	7	5
lcl|FLDA00M02FE85X	4	0
lcl|FLDA00M02FEEJY	1	1
lcl|FLDA00M02FEEOH	1	9
lcl|FLDA00M02FEH5T	2	206
lcl|FLDA00M02FEHAZ	5	0
lcl|FLDA00M02FEIWD	0	1
lcl|FLDA00M02FEQTH	0	1
lcl|FLDA00M02FERCQ	0	1
lcl|FLDA00M02FERG4	0	3
lcl|FLDA00M02FEU91	0	8
lcl|FLDA00M02FEW32	2	3
lcl|FLDA00M02FF9IQ	1	2
lcl|FLDA00M02FFABT	2	2
lcl|FLDA00M02FFAGJ	0	6
lcl|FLDA00M02FFBCT	0	2
lcl|FLDA00M02FFCR3	0	92
lcl|FLDA00M02FFDUD	2	1
lcl|FLDA00M02FFFZN	0	1
lcl|FLDA00M02FFGJ1	0	31
lcl|FLDA00M02FFGWB	5	4
lcl|FLDA00M02FFH9D	0	220
lcl|FLDA00M02FFKBQ	2	5
lcl|FLDA00M02FFM9U	0	11
lcl|FLDA00M02FFQCL	0	23
lcl|FLDA00M02FFQDI	0	24
lcl|FLDA00M02FFQLJ	3	30
lcl|FLDA00M02FFSVE	0	2
lcl|FLDA00M02FFUKH	1	8
lcl|FLDA00M02FFY0P	0	2
lcl|FLDA00M02FG0RR	0	38
lcl|FLDA00M02FG2LY	0	3
lcl|FLDA00M02FG4YC	1	43
lcl|FLDA00M02FGB9K	0	258
lcl|FLDA00M02FGCJ1	2	17
lcl|FLDA00M02FGINJ	0	14
lcl|FLDA00M02FGK6E	1	13
lcl|FLDA00M02FGMEV	1	15
lcl|FLDA00M02FGRHF	1	22
lcl|FLDA00M02FGSZF	0	2
lcl|FLDA00M02FGUY2	0	32
lcl|FLDA00M02FGVG1	1	9
lcl|FLDA00M02FH3FT	0	1
lcl|FLDA00M02FH3W5	1	1
lcl|FLDA00M02FH52W	0	56
lcl|FLDA00M02FH6HN	0	257
lcl|FLDA00M02FH6NT	0	41
lcl|FLDA00M02FHA1P	6	6
lcl|FLDA00M02FHA86	1	1
lcl|FLDA00M02FHBDR	0	12
lcl|FLDA00M02FHBI0	0	149
lcl|FLDA00M02FHCLF	0	5
lcl|FLDA00M02FHD1U	0	109
lcl|FLDA00M02FHFFQ	0	1
lcl|FLDA00M02FHHHZ	0	20
lcl|FLDA00M02FHJ2F	0	24
lcl|FLDA00M02FHPEL	0	28
lcl|FLDA00M02FHQHW	0	16
lcl|FLDA00M02FHS8E	0	2
lcl|FLDA00M02FHTPV	0	1
lcl|FLDA00M02FHUN3	0	19
lcl|FLDA00M02FHUPJ	7	96
lcl|FLDA00M02FHVSR	0	1
lcl|FLDA00M02FHZNP	0	11
lcl|FLDA00M02FHZSA	0	27
lcl|FLDA00M02FI3I4	0	2
lcl|FLDA00M02FI4SJ	0	13
lcl|FLDA00M02FI8E7	4	8
lcl|FLDA00M02FIA95	0	12
lcl|FLDA00M02FIB8V	0	114
lcl|FLDA00M02FIFZL	0	3
lcl|FLDA00M02FIGF4	0	70
lcl|FLDA00M02FIHEF	1	0
lcl|FLDA00M02FIK0W	0	27
lcl|FLDA00M02FIL4V	1	4
lcl|FLDA00M02FILTV	3	11
lcl|FLDA00M02FIQJB	2	29
lcl|FLDA00M02FIS1U	2	11
lcl|FLDA00M02FIS9K	6	5
lcl|FLDA00M02FITAB	2	118
lcl|FLDA00M02FITWV	0	3
lcl|FLDA00M02FIWX4	1	47
lcl|FLDA00M02FIYUA	0	81
lcl|FLDA00M02FJ2O6	8	8
lcl|FLDA00M02FJ7LK	0	1
lcl|FLDA00M02FJ8NV	0	7
lcl|FLDA00M02FJ8UF	1	5
lcl|FLDA00M02FJA4M	0	1
lcl|FLDA00M02FJA4P	1	2
lcl|FLDA00M02FJBML	0	36
lcl|FLDA00M02FJCS4	0	33
lcl|FLDA00M02FJFI2	0	4
lcl|FLDA00M02FJFVN	0	8
lcl|FLDA00M02FJICJ	0	156
lcl|FLDA00M02FJMKF	2	12
lcl|FLDA00M02FJO9E	2	1
lcl|FLDA00M02FJOR3	0	1
lcl|FLDA00M02FJV13	1	0
lcl|FLDA00M02FJYGU	3	7
lcl|FLDA00M02FJZLK	3	3
lcl|FLDA00M02FK0BB	0	3
lcl|FLDA00M02FK18B	0	2
lcl|FLDA00M02FK573	3	34
lcl|FLDA00M02FK6I3	0	206
lcl|FLDA00M02FK82L	22	0
lcl|FLDA00M02FK9AM	0	15
lcl|FLDA00M02FK9KJ	0	31
lcl|FLDA00M02FK9PH	0	3
lcl|FLDA00M02FK9WJ	0	50
lcl|FLDA00M02FK9WS	1	0
lcl|FLDA00M02FKADG	1	10
lcl|FLDA00M02FKDHC	1	0
lcl|FLDA00M02FKM9B	0	50
lcl|FLDA00M02FKMP4	2	9
lcl|FLDA00M02FKQ6T	0	11
lcl|FLDA00M02FKQ86	2	9
lcl|FLDA00M02FKT87	0	6
lcl|FLDA00M02FL1RE	0	4
lcl|FLDA00M02FL5B3	3	79
lcl|FLDA00M02FL7JZ	36	17
lcl|FLDA00M02FLBPL	0	10
lcl|FLDA00M02FLIDL	0	60
lcl|FLDA00M02FLN9T	1	6
lcl|FLDA00M02FLO76	0	10
lcl|FLDA00M02FLOA8	0	1
lcl|FLDA00M02FLOQN	0	83
lcl|FLDA00M02FLPT7	0	3
lcl|FLDA00M02FLV9I	0	4
lcl|FLDA00M02FLWSK	0	184
lcl|FLDA00M02FLYKP	0	35
lcl|FLDA00M02FM227	0	41
lcl|FLDA00M02FM399	0	47
lcl|FLDA00M02FM3Z4	0	10
lcl|FLDA00M02FM4ME	0	27
lcl|FLDA00M02FM6KB	0	8
lcl|FLDA00M02FMAJF	1	130
lcl|FLDA00M02FMG1S	1	13
lcl|FLDA00M02FMLZ2	5	2
lcl|FLDA00M02FMM00	0	2
lcl|FLDA00M02FMQAX	2	61
lcl|FLDA00M02FMZ4U	1	7
lcl|FLDA00M02FN1Y5	0	5
lcl|FLDA00M02FN3TB	1	43
lcl|FLDA00M02FN42L	0	90
lcl|FLDA00M02FN83Y	0	14
lcl|FLDA00M02FN8CF	0	178
lcl|FLDA00M02FN8SM	0	39
lcl|FLDA00M02FNAF1	0	2
lcl|FLDA00M02FNBEQ	0	5
lcl|FLDA00M02FNFMD	1	1
lcl|FLDA00M02FNG4X	0	7
lcl|FLDA00M02FNI82	2	0
lcl|FLDA00M02FNJLV	2	10
lcl|FLDA00M02FNJPW	0	6
lcl|FLDA00M02FNMEH	2	62
lcl|FLDA00M02FNPIM	4	22
lcl|FLDA00M02FNQRH	2	0
lcl|FLDA00M02FNT4I	0	2
lcl|FLDA00M02FNTI6	0	6
lcl|FLDA00M02FNUKP	0	1
lcl|FLDA00M02FNVJ6	0	1
lcl|FLDA00M02FNVTF	1	3
lcl|FLDA00M02FNYSR	4	0
lcl|FLDA00M02FO015	0	3
lcl|FLDA00M02FO1U5	11	18
lcl|FLDA00M02FO4B4	1	6
lcl|FLDA00M02FOB1I	0	20
lcl|FLDA00M02FOFO1	0	9
lcl|FLDA00M02FOGWN	0	34
lcl|FLDA00M02FOHT2	3	0
lcl|FLDA00M02FOIQT	0	12
lcl|FLDA00M02FOK5T	0	8
lcl|FLDA00M02FOKIZ	0	457
lcl|FLDA00M02FOKNS	3	24
lcl|FLDA00M02FOLT5	3	14
lcl|FLDA00M02FOLXO	79	64
lcl|FLDA00M02FOO27	2	68
lcl|FLDA00M02FOOU8	0	18
lcl|FLDA00M02FOQXG	12	130
lcl|FLDA00M02FOT9J	0	2
lcl|FLDA00M02FOTKW	6	11
lcl|FLDA00M02FOUZ3	1	8
lcl|FLDA00M02FOVFR	6	0
lcl|FLDA00M02FOY8A	3	0
lcl|FLDA00M02FOZUV	0	69
lcl|FLDA00M02FP0OQ	0	6
lcl|FLDA00M02FP22F	0	13
lcl|FLDA00M02FP2UV	0	5
lcl|FLDA00M02FP3I2	0	13
lcl|FLDA00M02FP611	0	5
lcl|FLDA00M02FP6AF	3	11
lcl|FLDA00M02FP9XH	1	2
lcl|FLDA00M02FPC3X	0	78
lcl|FLDA00M02FPDHD	0	1
lcl|FLDA00M02FPHL1	0	2
lcl|FLDA00M02FPJ8R	0	5
lcl|FLDA00M02FPJGJ	0	127
lcl|FLDA00M02FPJHB	1	4
lcl|FLDA00M02FPKY0	0	2
lcl|FLDA00M02FPONA	0	4
lcl|FLDA00M02FQ1SB	8	12
lcl|FLDA00M02FQ4WK	0	8
lcl|FLDA00M02FQ8LV	0	15
lcl|FLDA00M02FQ92E	0	17
lcl|FLDA00M02FQCHY	0	15
lcl|FLDA00M02FQDAF	1	69
lcl|FLDA00M02FQGRY	12	0
lcl|FLDA00M02FQH7P	0	1
lcl|FLDA00M02FQJIU	0	2
lcl|FLDA00M02FQJL9	1	0
lcl|FLDA00M02FQO7J	0	5
lcl|FLDA00M02FQQG3	2	8
lcl|FLDA00M02FQTTH	0	4
lcl|FLDA00M02FR0FO	0	49
lcl|FLDA00M02FR1CO	14	0
lcl|FLDA00M02FR326	5	305
lcl|FLDA00M02FR4AU	40	331
lcl|FLDA00M02FR58Q	0	70
lcl|FLDA00M02FR9XT	1	14
lcl|FLDA00M02FRDS3	0	114
lcl|FLDA00M02FRDVV	1	24
lcl|FLDA00M02FREDV	4	0
lcl|FLDA00M02FRJ21	0	7
lcl|FLDA00M02FRNF8	7	6
lcl|FLDA00M02FRONT	2	14
lcl|FLDA00M02FRQUR	0	3
lcl|FLDA00M02FRRMQ	0	1
lcl|FLDA00M02FRTUZ	1	3
lcl|FLDA00M02FRU8O	0	5
lcl|FLDA00M02FRUVQ	0	989
lcl|FLDA00M02FRW4L	3	3
lcl|FLDA00M02FRWFF	2	0
lcl|FLDA00M02FRXJB	9	15
lcl|FLDA00M02FS152	0	8
lcl|FLDA00M02FS717	3	7
lcl|FLDA00M02FS7NK	0	7
lcl|FLDA00M02FSBR8	0	74
lcl|FLDA00M02FSC63	0	6
lcl|FLDA00M02FSE67	9	0
lcl|FLDA00M02FSF1H	0	27
lcl|FLDA00M02FSGTE	5	82
lcl|FLDA00M02FSHUX	0	2
lcl|FLDA00M02FSITU	0	1
lcl|FLDA00M02FSJ6M	1	21
lcl|FLDA00M02FSJ94	5	57
lcl|FLDA00M02FSJZH	1	0
lcl|FLDA00M02FSKLY	15	385
lcl|FLDA00M02FSMS2	41	0
lcl|FLDA00M02FSO19	0	5
lcl|FLDA00M02FSXDA	1	9
lcl|FLDA00M02FSY2F	1	28
lcl|FLDA00M02FT0RI	2	0
lcl|FLDA00M02FT1UI	0	1
lcl|FLDA00M02FT1X8	0	24
lcl|FLDA00M02FT49A	3	9
lcl|FLDA00M02FT4AI	0	1
lcl|FLDA00M02FT4H1	0	1
lcl|FLDA00M02FT4QW	0	8
lcl|FLDA00M02FT4UG	0	3
lcl|FLDA00M02FT6TL	0	9
lcl|FLDA00M02FT7AF	1	6
lcl|FLDA00M02FT8IK	0	3
lcl|FLDA00M02FTBTQ	4	0
lcl|FLDA00M02FTE4R	3	3
lcl|FLDA00M02FTEKL	0	8
lcl|FLDA00M02FTGF6	0	4
lcl|FLDA00M02FTHK8	0	3
lcl|FLDA00M02FTI00	0	23
lcl|FLDA00M02FTJ7R	1	0
lcl|FLDA00M02FTL9Z	0	3
lcl|FLDA00M02FTMC2	1	36
lcl|FLDA00M02FTPWJ	0	3
lcl|FLDA00M02FTS6B	0	1
lcl|FLDA00M02FTUDH	6	0
lcl|FLDA00M02FTV21	0	1
lcl|FLDA00M02FU0CY	0	16
lcl|FLDA00M02FU1O9	1	0
lcl|FLDA00M02FU1OF	1	5
lcl|FLDA00M02FU3VE	3	5
lcl|FLDA00M02FUA7G	1	0
lcl|FLDA00M02FUA80	1	6
lcl|FLDA00M02FUAXB	2	0
lcl|FLDA00M02FUF9V	0	13
lcl|FLDA00M02FUG5V	0	7
lcl|FLDA00M02FUH43	5	90
lcl|FLDA00M02FUH5H	0	3
lcl|FLDA00M02FUH93	0	4
lcl|FLDA00M02FUI0Q	0	10
lcl|FLDA00M02FUIO4	0	1
lcl|FLDA00M02FULM3	0	135
lcl|FLDA00M02FUNGG	0	4
lcl|FLDA00M02FUQN8	1	34
lcl|FLDA00M02FUUIE	1	2
lcl|FLDA00M02FV0K4	5	27
lcl|FLDA00M02FV1FP	9	76
lcl|FLDA00M02FV46C	26	7
lcl|FLDA00M02FV62X	3	1
lcl|FLDA00M02FV7SC	1	0
lcl|FLDA00M02FVALD	0	6
lcl|FLDA00M02FVB1Q	10	21
lcl|FLDA00M02FVCD7	5	0
lcl|FLDA00M02FVCN1	0	2
lcl|FLDA00M02FVFCG	0	1
lcl|FLDA00M02FVGYN	2	214
lcl|FLDA00M02FVJC9	1	10
lcl|FLDA00M02FVJJP	18	0
lcl|FLDA00M02FVKJF	0	14
lcl|FLDA00M02FVM31	0	5
lcl|FLDA00M02FVMCC	0	125
lcl|FLDA00M02FVN6W	0	9
lcl|FLDA00M02FVO99	0	7
lcl|FLDA00M02FVP45	6	7
