ambient	plusFe
lcl|FLDA00M01BX2M3	1	24
lcl|FLDA00M01BX4KU	2	11
lcl|FLDA00M01BX51S	1	14
lcl|FLDA00M01BX9S6	1	0
lcl|FLDA00M01BXCG2	3	3
lcl|FLDA00M01BXDDW	16	19
lcl|FLDA00M01BXDP9	0	7
lcl|FLDA00M01BXFDO	0	7
lcl|FLDA00M01BXQWG	0	6
lcl|FLDA00M01BXQY6	1	2
lcl|FLDA00M01BXTJW	0	1
lcl|FLDA00M01BY670	1	37
lcl|FLDA00M01BY7RO	0	2
lcl|FLDA00M01BYAB9	19	24
lcl|FLDA00M01BYCBR	1	5
lcl|FLDA00M01BYCIQ	0	1
lcl|FLDA00M01BYEVJ	3	49
lcl|FLDA00M01BYO22	95	0
lcl|FLDA00M01BYR9L	6	1
lcl|FLDA00M01BYVD7	2	29
lcl|FLDA00M01BYVG8	1	6
lcl|FLDA00M01BYXA6	1	10
lcl|FLDA00M01BYZGE	0	13
lcl|FLDA00M01BZ2R0	0	1
lcl|FLDA00M01BZD1M	0	54
lcl|FLDA00M01BZFX3	0	160
lcl|FLDA00M01BZFYC	0	5
lcl|FLDA00M01BZN0V	0	47
lcl|FLDA00M01BZQXM	0	33
lcl|FLDA00M01BZWEU	2	0
lcl|FLDA00M01C00IK	0	14
lcl|FLDA00M01C052C	1	2
lcl|FLDA00M01C086V	3	0
lcl|FLDA00M01C0D7P	2	35
lcl|FLDA00M01C0EGG	0	4
lcl|FLDA00M01C0FJR	0	4
lcl|FLDA00M01C0IXJ	0	49
lcl|FLDA00M01C0L5Q	1	13
lcl|FLDA00M01C0NG9	0	26
lcl|FLDA00M01C0P3D	0	2
lcl|FLDA00M01C0P68	4	11
lcl|FLDA00M01C0P9L	0	1
lcl|FLDA00M01C0S8U	1	7
lcl|FLDA00M01C0SJ0	0	2
lcl|FLDA00M01C0SOL	0	25
lcl|FLDA00M01C12IX	0	1
lcl|FLDA00M01C160S	0	46
lcl|FLDA00M01C1E2S	3	0
lcl|FLDA00M01C1HVY	1	19
lcl|FLDA00M01C1O3T	0	2
lcl|FLDA00M01C1YLU	1	3
lcl|FLDA00M01C29HZ	0	7
lcl|FLDA00M01C2H11	3	10
lcl|FLDA00M01C2JY0	0	2
lcl|FLDA00M01C2Q2G	5	117
lcl|FLDA00M01C2W0M	1	3
lcl|FLDA00M01C31E8	0	1
lcl|FLDA00M01C31JL	1	8
lcl|FLDA00M01C321K	0	5
lcl|FLDA00M01C35A4	0	12
lcl|FLDA00M01C37RI	4	109
lcl|FLDA00M01C38A5	9	0
lcl|FLDA00M01C39G3	0	44
lcl|FLDA00M01C39JE	0	4
lcl|FLDA00M01C3B24	0	1
lcl|FLDA00M01C3JHN	1	180
lcl|FLDA00M01C3O9A	0	1
lcl|FLDA00M01C3TAB	2	0
lcl|FLDA00M01C3ZW2	0	11
lcl|FLDA00M01C4OE0	1	0
lcl|FLDA00M01C4QCC	1	175
lcl|FLDA00M01C4VA6	3	39
lcl|FLDA00M01C4Y67	0	5
lcl|FLDA00M01C52LS	5	74
lcl|FLDA00M01C58MN	0	11
lcl|FLDA00M01C58UK	0	2
lcl|FLDA00M01C5GDS	0	1
lcl|FLDA00M01C5QBX	0	90
lcl|FLDA00M01C5S9X	0	1
lcl|FLDA00M01C5SSO	0	3
lcl|FLDA00M01C615V	2	3
lcl|FLDA00M01C61QK	0	16
lcl|FLDA00M01C62OZ	1	0
lcl|FLDA00M01C67ZD	22	32
lcl|FLDA00M01C6909	0	2
lcl|FLDA00M01C6BLW	7	0
lcl|FLDA00M01C6BX0	0	5
lcl|FLDA00M01C6LK5	0	1
lcl|FLDA00M01C6N6M	0	10
lcl|FLDA00M01C6PPD	1	0
lcl|FLDA00M01C6PZZ	0	2
lcl|FLDA00M01C6RE2	0	1
lcl|FLDA00M01C6SEV	2	6
lcl|FLDA00M01C6VNX	2	0
lcl|FLDA00M01C748P	0	53
lcl|FLDA00M01C7736	0	24
lcl|FLDA00M01C7KT2	2	1
lcl|FLDA00M01C7LC6	0	2
lcl|FLDA00M01C7NG9	0	1
lcl|FLDA00M01C7NI5	0	1
lcl|FLDA00M01C7Q6T	0	29
lcl|FLDA00M01C7QLS	3	11
lcl|FLDA00M01C7UN1	0	4
lcl|FLDA00M01C7W29	33	0
lcl|FLDA00M01C7WMK	0	94
lcl|FLDA00M01C7WTQ	0	8
lcl|FLDA00M01C804Q	0	9
lcl|FLDA00M01C87VA	2	16
lcl|FLDA00M01C87YF	0	21
lcl|FLDA00M01C8JHX	0	5
lcl|FLDA00M01C8LW9	0	13
lcl|FLDA00M01C8R40	1	0
lcl|FLDA00M01C8SWF	0	76
lcl|FLDA00M01C93VY	8	2
lcl|FLDA00M01C94NU	2	39
lcl|FLDA00M01C961E	568	15
lcl|FLDA00M01C96ZZ	1	88
lcl|FLDA00M01C99VB	0	31
lcl|FLDA00M01C9E7J	0	50
lcl|FLDA00M01C9II6	0	110
lcl|FLDA00M01C9N3Q	0	26
lcl|FLDA00M01C9NYI	7	15
lcl|FLDA00M01C9T59	0	13
lcl|FLDA00M01C9XR5	2	5
lcl|FLDA00M01CA2MH	0	10
lcl|FLDA00M01CA2TG	0	5
lcl|FLDA00M01CA5RO	0	3
lcl|FLDA00M01CA9VY	0	9
lcl|FLDA00M01CAIPO	5	0
lcl|FLDA00M01CAJQ6	8	7
lcl|FLDA00M01CALPD	0	5
lcl|FLDA00M01CAMEG	0	7
lcl|FLDA00M01CASDX	1	1
lcl|FLDA00M01CAV1Y	6	73
lcl|FLDA00M01CAV47	2	12
lcl|FLDA00M01CAWG1	0	55
lcl|FLDA00M01CAXBB	4	74
lcl|FLDA00M01CB07O	0	5
lcl|FLDA00M01CB1KD	4	0
lcl|FLDA00M01CB4UN	0	2
lcl|FLDA00M01CBIEU	1	3
lcl|FLDA00M01CBVD3	0	4
lcl|FLDA00M01CBWXL	0	35
lcl|FLDA00M01CC58N	2	0
lcl|FLDA00M01CCA8B	0	3
lcl|FLDA00M01CCBGN	2	18
lcl|FLDA00M01CCCNQ	2	5
lcl|FLDA00M01CCCZV	0	34
lcl|FLDA00M01CCFX7	0	1
lcl|FLDA00M01CCGMC	17	7
lcl|FLDA00M01CCHLS	2	5
lcl|FLDA00M01CCKOU	0	52
lcl|FLDA00M01CCM1E	0	119
lcl|FLDA00M01CCODI	0	3
lcl|FLDA00M01CCQOW	1	85
lcl|FLDA00M01CCQW3	4	6
lcl|FLDA00M01CCXW2	12	0
lcl|FLDA00M01CCYC5	1	11
lcl|FLDA00M01CCZSI	3	3
lcl|FLDA00M01CD393	0	7
lcl|FLDA00M01CD5LF	0	7
lcl|FLDA00M01CD60O	0	19
lcl|FLDA00M01CD6F5	0	43
lcl|FLDA00M01CD6RK	0	14
lcl|FLDA00M01CD7YA	19	15
lcl|FLDA00M01CDFAL	0	9
lcl|FLDA00M01CDFGQ	3	3
lcl|FLDA00M01CDIJC	1	0
lcl|FLDA00M01CDJAT	0	1
lcl|FLDA00M01CDSJB	1	48
lcl|FLDA00M01CDVFX	52	133
lcl|FLDA00M01CDVU9	0	49
lcl|FLDA00M01CE0RN	1	2
lcl|FLDA00M01CE3AV	1	82
lcl|FLDA00M01CE7QN	1	1
lcl|FLDA00M01CEAGA	0	138
lcl|FLDA00M01CEDEO	0	2
lcl|FLDA00M01CEFL1	1	4
lcl|FLDA00M01CEFQQ	0	26
lcl|FLDA00M01CEFSG	1	7
lcl|FLDA00M01CEFV4	0	8
lcl|FLDA00M01CEIEB	0	38
lcl|FLDA00M01CERXU	0	5
lcl|FLDA00M01CEUKV	0	2
lcl|FLDA00M01CEW22	1	253
lcl|FLDA00M01CF6UB	0	2
lcl|FLDA00M01CF9E9	1	5
lcl|FLDA00M01CFF26	0	5
lcl|FLDA00M01CFJSC	3	39
lcl|FLDA00M01CFLHR	0	6
lcl|FLDA00M01CFP40	9	6
lcl|FLDA00M01CFPLP	4	0
lcl|FLDA00M01CFSGW	3	24
lcl|FLDA00M01CGCFA	0	1
lcl|FLDA00M01CGF5M	0	40
lcl|FLDA00M01CGT5Q	0	3
lcl|FLDA00M01CGZN4	0	73
lcl|FLDA00M01CH0I9	0	1
lcl|FLDA00M01CH7CT	1	3
lcl|FLDA00M01CHG8Y	0	202
lcl|FLDA00M01CHIK9	0	3
lcl|FLDA00M01CHKK6	4	21
lcl|FLDA00M01CHKLO	0	72
lcl|FLDA00M01CHTY6	8	0
lcl|FLDA00M01CI963	0	3
lcl|FLDA00M01CIAUG	1	3
lcl|FLDA00M01CIS4K	0	49
lcl|FLDA00M01CIT3S	0	5
lcl|FLDA00M01CIWTE	0	20
lcl|FLDA00M01CJ05P	1	12
lcl|FLDA00M01CJ1ID	4	22
lcl|FLDA00M01CJ4K9	1	2
lcl|FLDA00M01CJAO6	0	6
lcl|FLDA00M01CJBQW	2	7
lcl|FLDA00M01CJFWZ	0	8
lcl|FLDA00M01CJG3N	0	11
lcl|FLDA00M01CJUWJ	0	3
lcl|FLDA00M01CJWU4	0	81
lcl|FLDA00M01CK06E	2	44
lcl|FLDA00M01CK0NH	10	8
lcl|FLDA00M01CK3D5	0	5
lcl|FLDA00M01CKE9T	0	2
lcl|FLDA00M01CKGZF	2	16
lcl|FLDA00M01CKHUC	0	3
lcl|FLDA00M01CKNUP	2	34
lcl|FLDA00M01CKRBA	2	34
lcl|FLDA00M01CKWDV	0	2
lcl|FLDA00M01CL197	0	1
lcl|FLDA00M01CL4ZP	0	5
lcl|FLDA00M01CL68F	3	0
lcl|FLDA00M01CLCXQ	0	1
lcl|FLDA00M01CLF04	0	138
lcl|FLDA00M01CLF8B	0	11
lcl|FLDA00M01CLG7B	3	9
lcl|FLDA00M01CLLXH	29	27
lcl|FLDA00M01CLMOW	1	19
lcl|FLDA00M01CLVE9	1	2
lcl|FLDA00M01CLVES	0	4
lcl|FLDA00M01CLVV5	0	3
lcl|FLDA00M01CLZRN	2	2
lcl|FLDA00M01CM11N	0	1
lcl|FLDA00M01CM374	5	0
lcl|FLDA00M01CMB6D	0	1
lcl|FLDA00M01CMBTP	0	3
lcl|FLDA00M01CMC3N	1	0
lcl|FLDA00M01CMD37	5	9
lcl|FLDA00M01CMEQ6	0	6
lcl|FLDA00M01CMESF	9	16
lcl|FLDA00M01CMF0N	0	3
lcl|FLDA00M01CMI41	16	0
lcl|FLDA00M01CMI4P	0	7
lcl|FLDA00M01CMKIL	0	1
lcl|FLDA00M01CMNLW	2	10
lcl|FLDA00M01CMOMH	2	2
lcl|FLDA00M01CMRQR	0	23
lcl|FLDA00M01CMT52	1	2
lcl|FLDA00M01CN0VI	22	272
lcl|FLDA00M01CN6HK	2	11
lcl|FLDA00M01CN6PA	0	2
lcl|FLDA00M01CN8S6	0	3
lcl|FLDA00M01CNA5I	0	21
lcl|FLDA00M01CNBFL	1	3
lcl|FLDA00M01CNG3K	3	3
lcl|FLDA00M01CNJEM	0	11
lcl|FLDA00M01CNTHQ	14	178
lcl|FLDA00M01CNVVI	0	9
lcl|FLDA00M01CO1AA	1	54
lcl|FLDA00M01CO3DW	0	638
lcl|FLDA00M01CO5IH	0	2
lcl|FLDA00M01CO74T	4	73
lcl|FLDA00M01COE57	0	13
lcl|FLDA00M01COE6S	0	1
lcl|FLDA00M01COEHV	1	11
lcl|FLDA00M01COF9J	0	15
lcl|FLDA00M01COIZD	0	13
lcl|FLDA00M01COM5D	5	0
lcl|FLDA00M01COO2E	6	46
lcl|FLDA00M01COX5S	1	5
lcl|FLDA00M01COXSR	5	37
lcl|FLDA00M01CP6KZ	0	6
lcl|FLDA00M01CP8FR	0	13
lcl|FLDA00M01CP9RE	1	12
lcl|FLDA00M01CPDMH	2	48
lcl|FLDA00M01CPDRB	0	5
lcl|FLDA00M01CPDU7	2	17
lcl|FLDA00M01CPDUW	0	2
lcl|FLDA00M01CPHGN	1	3
lcl|FLDA00M01CPKCC	0	3
lcl|FLDA00M01CPT1W	0	1
lcl|FLDA00M01CQ0Q2	12	63
lcl|FLDA00M01CQ5LI	0	4
lcl|FLDA00M01CQ6RS	0	4
lcl|FLDA00M01CQCNF	0	13
lcl|FLDA00M01CQJ7L	1	0
lcl|FLDA00M01CQJIJ	4	87
lcl|FLDA00M01CQOZZ	0	1
lcl|FLDA00M01CQTR6	2	7
lcl|FLDA00M01CR0C6	3	10
lcl|FLDA00M01CR26S	4	13
lcl|FLDA00M01CR635	0	9
